,Date,Time,ID,TEWL_g_m2h,CV,SSWL_g_m2,ambient_temp_C,ambient_RH_percent,weekend,date_time,replicate
2,4/23/21,5/6/21 13:34,F-01,8.15,0.51,6.67E-05,31.6,11.6,1,4/23/21 13:34,2
3,4/23/21,5/6/21 13:35,F-01,8.22,0.85,0.0318,31.5,11.9,1,4/23/21 13:35,3
4,4/24/21,5/6/21 14:32,F-10,16.96,0.42,0.1573728,33.6,17.8,1,4/24/21 14:32,1
5,4/24/21,5/6/21 14:33,F-10,14.03,0.39,0.04,33.4,15.9,1,4/24/21 14:33,2
8,4/23/21,5/6/21 14:28,F-11,8.61,0.76,0.0932,32.1,13.8,1,4/23/21 14:28,2
9,4/23/21,5/6/21 14:29,F-11,5.76,1.11,0.0179,31,14.4,1,4/23/21 14:29,3
11,4/23/21,5/6/21 14:41,F-12,0.38,14.5,0.032,32.4,13.4,1,4/23/21 14:41,2
12,4/23/21,5/6/21 14:41,F-12,0.8,9.24,0.0225,32.2,13.6,1,4/23/21 14:41,3
13,4/23/21,5/6/21 19:19,F-13,8.76,0.82,0.0515,23.3,28,1,4/23/21 19:19,1
15,4/23/21,5/6/21 19:21,F-13,8.6,0.84,0.026,23,28.3,1,4/23/21 19:21,3
17,4/24/21,5/6/21 12:03,F-14,9.3,0.66,0.1288618,28.1,24.1,1,4/24/21 12:03,2
18,4/24/21,5/6/21 12:05,F-14,10.95,0.55,0.154902,28.3,22.1,1,4/24/21 12:05,3
19,4/24/21,5/6/21 12:40,F-15,15.15,0.38,0.0334,29.1,20.1,1,4/24/21 12:40,1
20,4/24/21,5/6/21 12:40,F-15,16.11,0.45,0.0165,29.6,19.4,1,4/24/21 12:40,2
23,4/24/21,5/6/21 13:02,F-16,12.17,0.54,0.0305,29.9,18.5,1,4/24/21 13:02,2
24,4/24/21,5/6/21 13:03,F-16,10.79,0.67,0.0653,30,18.4,1,4/24/21 13:03,3
26,4/24/21,5/6/21 15:11,F-17,20.42,0.16,0.013,32,19.9,1,4/24/21 15:11,2
27,4/24/21,5/6/21 15:12,F-17,19.64,0.33,0.0536,32.2,19.9,1,4/24/21 15:12,3
28,4/25/21,5/6/21 14:26,F-18,9.44,0.7,0.000528,18.9,36.4,1,4/25/21 14:26,1
29,4/25/21,5/6/21 14:28,F-18,9.62,0.68,0.1109509,19.3,35.5,1,4/25/21 14:28,2
32,4/25/21,5/6/21 14:30,F-19,14.19,0.52,0.00636,19,35.7,1,4/25/21 14:30,2
33,4/25/21,5/6/21 14:31,F-19,13.35,0.32,0,19.2,35.8,1,4/25/21 14:31,3
35,4/23/21,5/6/21 13:53,F-02,15.25,0.43,0.1221916,33.7,17.1,1,4/23/21 13:53,2
36,4/23/21,5/6/21 13:54,F-02,15.65,0.42,0.0554,33.4,16.4,1,4/23/21 13:54,3
37,4/23/21,5/6/21 14:17,F-03,8.47,0.66,0.0355247,32,14.6,1,4/23/21 14:17,1
39,4/23/21,5/6/21 14:19,F-03,8.53,0.63,0.0671,32.4,13.5,1,4/23/21 14:19,3
40,4/23/21,5/6/21 18:56,F-04,9.05,0.8,0.0905,25,25.9,1,4/23/21 18:56,1
41,4/23/21,5/6/21 18:57,F-04,9.08,0.71,0.0205,25,26.1,1,4/23/21 18:57,2
44,4/24/21,5/6/21 12:20,F-05,16.93,0.37,0.0896,29.1,20.6,1,4/24/21 12:20,3
45,4/24/21,5/6/21 12:21,F-05,12.41,0.6,0.059,29.2,20.3,1,4/24/21 12:21,4
47,4/24/21,5/6/21 12:52,F-06,14.97,0.46,0.0595,30.4,18.7,1,4/24/21 12:52,2
48,4/24/21,5/6/21 12:53,F-06,12.31,0.44,0.0696,30.1,18.8,1,4/24/21 12:53,3
49,4/24/21,5/6/21 14:09,F-07,6.75,0.76,0.0279,30.8,15.4,1,4/24/21 14:09,1
