Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7:08,6:58,6:28,6:46,6:08,5:46,5:49,6:09,6:32,6:55,7:21,6:50
2,7:08,6:57,6:27,6:44,6:07,5:46,5:49,6:10,6:33,6:55,7:22,6:51
3,7:08,6:57,6:26,6:43,6:06,5:46,5:50,6:10,6:34,6:56,7:23,6:52
4,7:08,6:56,6:25,6:41,6:05,5:45,5:50,6:11,6:34,6:57,7:24,6:52
5,7:08,6:55,6:23,6:40,6:04,5:45,5:51,6:12,6:35,6:58,7:25,6:53
6,7:08,6:54,6:22,6:39,6:03,5:45,5:51,6:13,6:36,6:58,7:26,6:54
7,7:08,6:53,6:21,6:37,6:02,5:45,5:52,6:13,6:37,6:59,6:27,6:55
8,7:08,6:52,6:19,6:36,6:01,5:45,5:52,6:14,6:37,7:00,6:28,6:56
9,7:08,6:51,6:18,6:35,6:00,5:45,5:53,6:15,6:38,7:01,6:29,6:57
10,7:08,6:50,6:16,6:33,5:59,5:44,5:53,6:16,6:39,7:02,6:30,6:57
11,7:08,6:49,6:15,6:32,5:58,5:44,5:54,6:16,6:40,7:03,6:31,6:58
12,7:08,6:48,6:14,6:31,5:58,5:44,5:55,6:17,6:40,7:03,6:32,6:59
13,7:08,6:47,6:12,6:29,5:57,5:44,5:55,6:18,6:41,7:04,6:33,6:59
14,7:08,6:46,7:11,6:28,5:56,5:44,5:56,6:19,6:42,7:05,6:34,7:00
15,7:07,6:45,7:10,6:27,5:55,5:45,5:57,6:19,6:43,7:06,6:35,7:01
16,7:07,6:44,7:08,6:25,5:54,5:45,5:57,6:20,6:43,7:07,6:36,7:01
17,7:07,6:43,7:07,6:24,5:54,5:45,5:58,6:21,6:44,7:08,6:37,7:02
18,7:06,6:42,7:05,6:23,5:53,5:45,5:59,6:22,6:45,7:08,6:38,7:03
19,7:06,6:41,7:04,6:22,5:52,5:45,5:59,6:23,6:46,7:09,6:39,7:03
20,7:06,6:40,7:03,6:20,5:52,5:45,6:00,6:23,6:46,7:10,6:40,7:04
21,7:05,6:38,7:01,6:19,5:51,5:45,6:01,6:24,6:47,7:11,6:41,7:04
22,7:05,6:37,7:00,6:18,5:50,5:46,6:01,6:25,6:48,7:12,6:41,7:05
23,7:04,6:36,6:58,6:17,5:50,5:46,6:02,6:26,6:48,7:13,6:42,7:05
24,7:04,6:35,6:57,6:16,5:49,5:46,6:03,6:26,6:49,7:14,6:43,7:06
25,7:03,6:34,6:55,6:14,5:49,5:47,6:04,6:27,6:50,7:15,6:44,7:06
26,7:02,6:32,6:54,6:13,5:48,5:47,6:04,6:28,6:51,7:16,6:45,7:06
27,7:02,6:31,6:53,6:12,5:48,5:47,6:05,6:29,6:52,7:16,6:46,7:07
28,7:01,6:30,6:51,6:11,5:48,5:48,6:06,6:29,6:52,7:17,6:47,7:07
29,7:00,,6:50,6:10,5:47,5:48,6:07,6:30,6:53,7:18,6:48,7:07
30,7:00,,6:48,6:09,5:47,5:48,6:07,6:31,6:54,7:19,6:49,7:08
31,6:59,,6:47,,5:46,,6:08,6:32,,7:20,,7:08
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
