Date,Island,ID,Morph,Sex,Mass,SVL,Body,CEWL_g_m2h_mean,msmt_temp_C,msmt_RH_percent
5/28/22,Naxos,N100,Y,F,6.7,63.76,Chin,15.475,23.225,61.1
5/28/22,Naxos,N100,Y,F,6.7,63.76,Dorsum,23.795,24.025,64.5
5/28/22,Naxos,N101,Y,M,8.2,69.01,Chin,18.92,24.075,61.45
5/28/22,Naxos,N101,Y,M,8.2,69.01,Dorsum,17.0025,23.025,57.55
5/28/22,Naxos,N102,O,M,8,62.35,Chin,16.44,22.625,55.95
5/28/22,Naxos,N102,O,M,8,62.35,Dorsum,18.0375,23.175,59.25
5/28/22,Naxos,N103,O,M,8.9,67.82,Chin,24.0975,24.125,62.3
5/28/22,Naxos,N103,O,M,8.9,67.82,Dorsum,22.7975,24.325,59.325
5/28/22,Naxos,N104,W,M,8.8,65.36,Chin,15.0375,23,54.475
5/28/22,Naxos,N104,W,M,8.8,65.36,Dorsum,22.3925,22.825,54.375
5/28/22,Naxos,N105,W,F,5.5,62.83,Chin,16.85,22.85,55.375
5/28/22,Naxos,N105,W,F,5.5,62.83,Dorsum,16.7275,22.925,55.45
5/28/22,Naxos,N107,Y,M,8.9,71.64,Chin,20.6725,23.05,55.95
5/28/22,Naxos,N107,Y,M,8.9,71.64,Dorsum,20.0375,22.95,56.45
5/28/22,Naxos,N108,Y,F,4.4,56.56,Chin,18.8575,23.075,58.625
5/28/22,Naxos,N108,Y,F,4.4,56.56,Dorsum,22.615,23.4,61.625
5/28/22,Naxos,N109,Y,M,7.8,62.07,Chin,33.3575,24.125,63.975
5/28/22,Naxos,N109,Y,M,7.8,62.07,Dorsum,21.17,23.4,60.625
5/28/22,Naxos,N110,O,M,9,66.61,Chin,24.5075,23,59.775
5/28/22,Naxos,N110,O,M,9,66.61,Dorsum,19.1775,23.2,60.4
5/28/22,Naxos,N111,W,F,4.9,62.13,Chin,27.045,23.425,61.7
5/28/22,Naxos,N111,W,F,4.9,62.13,Dorsum,19.3475,23.35,59.775
5/28/22,Naxos,N112,W,M,8.3,66.88,Chin,28.45,22.7,58.675
5/28/22,Naxos,N112,W,M,8.3,66.88,Dorsum,21.97,23.15,61.325
5/28/22,Naxos,N89,Y,M,8.1,67.23,Chin,12.555,22.675,57.875
5/28/22,Naxos,N89,Y,M,8.1,67.23,Dorsum,24.155,23.475,62.525
5/28/22,Naxos,N90,Y,F,5.6,68.05,Chin,13.685,24.15,62.8
5/28/22,Naxos,N90,Y,F,5.6,68.05,Dorsum,19.5275,22.825,59.25
5/28/22,Naxos,N92,O,M,6.7,62.03,Chin,14.17,22.3,58.63333333
5/28/22,Naxos,N92,O,M,6.7,62.03,Dorsum,22.1725,23.3,64.925
5/28/22,Naxos,N93,W,M,9.1,69.65,Chin,18.8875,24.075,63.325
5/28/22,Naxos,N93,W,M,9.1,69.65,Dorsum,18.19,22.875,59.675
5/28/22,Naxos,N95,W,M,5.1,57.94,Chin,18.1025,23.475,62
5/28/22,Naxos,N95,W,M,5.1,57.94,Dorsum,24.07,24.3,63.575
5/28/22,Naxos,N96,O,M,8,67.67,Chin,16.8675,23.6,61.25
5/28/22,Naxos,N96,O,M,8,67.67,Dorsum,17.9125,22.975,58.625
5/28/22,Naxos,N97,W,M,8.1,67.23,Chin,22.905,24.575,65.825
5/28/22,Naxos,N97,W,M,8.1,67.23,Dorsum,22.655,23.375,60.875
5/28/22,Naxos,N98,O,M,11,70.38,Chin,16.015,23.175,60
5/28/22,Naxos,N98,O,M,11,70.38,Dorsum,26.6425,23.325,61.575
5/28/22,Naxos,N99,O,M,8.5,65.8,Chin,18.215,24.025,63.55
5/28/22,Naxos,N99,O,M,8.5,65.8,Dorsum,20.06,22.95,59.975
5/29/22,Naxos,N114,W,M,4.6,55.93,Chin,30.59,23.325,56.925
5/29/22,Naxos,N114,W,M,4.6,55.93,Dorsum,25.04,23.2,57.95
5/29/22,Naxos,N116,Y,M,6.2,65.64,Chin,18.9925,23.175,54.75
5/29/22,Naxos,N116,Y,M,6.2,65.64,Dorsum,22.87,23.25,55.2
5/29/22,Naxos,N117,W,M,6.1,61.81,Chin,19.9475,23.1,56.575
