Station_ID,Date_Time,air_temp_F,relative_humidity_percent,wind_speed_mph,wind_direction_degrees,wind_gust_mph,precip_accum_one_hour_inches,solar_radiation_W_m2,soil_temp_F,precip_accum_inches,volt_set_1,soil_moisture_percent,air_temp_high_24_hour_F,air_temp_low_24_hour_F,dew_point_temp_F,wind_chill_F,wind_cardinal_direction,heat_index_F
CXXC1,10/01/2019 22:00 PDT,51.3,46,3.2,56,,0,0.06,70,,,2.7,,,31.04,,NE,
CXXC1,10/01/2019 23:00 PDT,50.2,48,3.6,54,,0,0.03,66.99,,,2.3,,,31.09,,NE,
CXXC1,10/02/2019 00:00 PDT,49.8,50,3.89,52,,0,0.04,64.99,,,3,,,31.74,,NE,
CXXC1,10/02/2019 01:00 PDT,49.6,47,5.3,46,,0,0.03,63,0,,1.8,,,30.02,,NE,
CXXC1,10/02/2019 02:00 PDT,49.8,48,5.5,45,,0,0.03,61,,,1.9,,,30.72,,NE,
CXXC1,10/02/2019 03:00 PDT,49.3,47,5.61,50,,0,0.03,60.01,,,2.1,,,29.74,,NE,
CXXC1,10/02/2019 04:00 PDT,49.6,46,5.5,54,,0,0.04,59,,,2.5,,,29.49,,NE,
CXXC1,10/02/2019 05:00 PDT,50.2,45,5.79,54,,0,0.01,57.99,,,1.7,,,29.49,,NE,
CXXC1,10/02/2019 06:00 PDT,49.5,48,5.1,54,,0,0.02,57,,,1.9,,,30.45,,NE,
CXXC1,10/02/2019 07:00 PDT,48.6,47,5.79,53,,0,0.02,55.99,,,1.8,,,29.1,,NE,
CXXC1,10/02/2019 08:00 PDT,48.7,47,5.3,54,,0,1.51,55.99,,,2.2,,,29.19,,NE,
CXXC1,10/02/2019 09:00 PDT,48.6,46,3.4,47,,0,55.69,55,,,1.3,,,28.57,,NE,
CXXC1,10/02/2019 10:00 PDT,53.1,40,3.49,63,,0,284.7,57.99,,,2.2,,,29.23,,ENE,
CXXC1,10/02/2019 11:00 PDT,56.3,38,4.61,56,,0,490.5,64,,,1.9,,,30.84,,NE,
CXXC1,10/02/2019 12:00 PDT,58.6,36,4.99,58,,0,665.9,72,,,2.2,,,31.56,,ENE,
CXXC1,10/02/2019 13:00 PDT,60.6,32,5.91,67,,0,792.1,79,,,3.1,,,30.42,,ENE,
CXXC1,10/02/2019 14:00 PDT,63,29,8.01,57,,0,855,84.99,,,3.1,,,30.1,,ENE,
CXXC1,10/02/2019 15:00 PDT,65.7,27,8.1,55,,0,848,88,,,3.1,,,30.68,,NE,
CXXC1,10/02/2019 16:00 PDT,67.3,26,8.81,54,,0,770.5,89.01,,,3.2,,,31.13,,NE,
CXXC1,10/02/2019 17:00 PDT,68.4,27,10.11,46,,0,629.4,89.01,,,3.2,,,33.02,,NE,
CXXC1,10/02/2019 18:00 PDT,69.1,28,8.99,56,,0,441.1,87.01,,,3.4,,,34.53,,NE,
CXXC1,10/02/2019 19:00 PDT,67.5,31,9.1,52,,0,223.7,82.99,,,3.1,,,35.69,,NE,
CXXC1,10/02/2019 20:00 PDT,64.6,35,6.69,56,,0,33.65,79,,,2.8,,,36.2,,NE,
CXXC1,10/02/2019 21:00 PDT,62.2,36,6.6,61,,0,0.05,75,,,3.3,,,34.77,,ENE,
CXXC1,10/02/2019 22:00 PDT,61.2,36,4.9,58,,0,0.02,72,,,2.6,,,33.88,,ENE,
CXXC1,10/02/2019 23:00 PDT,60.4,36,4.21,51,,0,0.02,70,,,1.9,,,33.17,,NE,
CXXC1,10/03/2019 00:00 PDT,59,41,4.81,49,,0,0.02,66.99,,,2.5,,,35.18,,NE,
CXXC1,10/03/2019 01:00 PDT,56.1,42,5.5,46,,0,0.02,64.99,0,,2.7,,,33.15,,NE,
CXXC1,10/03/2019 02:00 PDT,56.5,42,4.7,49,,0,0.02,64,,,2.9,,,33.52,,NE,
CXXC1,10/03/2019 03:00 PDT,54.9,45,5.39,44,,0,0.01,63,,,2.4,,,33.79,,NE,
CXXC1,10/03/2019 04:00 PDT,54.1,44,5.7,46,,0,0.01,61,,,2.6,,,32.5,,NE,
CXXC1,10/03/2019 05:00 PDT,54.7,45,5.79,49,,0,0.02,60.01,,,2,,,33.61,,NE,
CXXC1,10/03/2019 06:00 PDT,54,48,6.2,50,,0,0.02,60.01,,,2.5,,,34.59,,NE,
CXXC1,10/03/2019 07:00 PDT,53.4,50,3.6,43,,0,0.02,59,,,1.9,,,35.07,,NE,
CXXC1,10/03/2019 08:00 PDT,53.8,47,2.51,84,,0,1.2,57,,,2.2,,,33.88,,E,
CXXC1,10/03/2019 09:00 PDT,53.2,45,3.31,56,,0,50.67,57,,,2.2,,,32.24,,NE,
CXXC1,10/03/2019 10:00 PDT,59.2,38,1.41,143,,0,274.5,61,,,2,,,33.44,,SE,
CXXC1,10/03/2019 11:00 PDT,63.9,33,3.69,172,,0,480.6,66.99,,,2.2,,,34.1,,S,
CXXC1,10/03/2019 12:00 PDT,68.5,30,5.39,74,,0,653.1,73.99,,,2.9,,,35.74,,ENE,
CXXC1,10/03/2019 13:00 PDT,69.8,28,7.4,61,,0,780.5,81,,,3.1,,,35.14,,ENE,
CXXC1,10/03/2019 14:00 PDT,72.5,26,8.19,47,,0,840,87.01,,,2.9,,,35.61,,NE,
CXXC1,10/03/2019 15:00 PDT,74.1,26,8.7,55,,0,833,90,,,3.3,,,36.99,,NE,
CXXC1,10/03/2019 16:00 PDT,74.5,25,10.49,58,,0,750.1,91,,,3.3,,,36.34,,ENE,
CXXC1,10/03/2019 17:00 PDT,74.3,25,11.41,56,,0,611,91,,,3.3,,,36.17,,NE,
CXXC1,10/03/2019 18:00 PDT,73.8,27,10.8,48,,0,422.8,89.01,,,3.4,,,37.68,,NE,
CXXC1,10/03/2019 19:00 PDT,72.7,28,8.3,48,,0,211.7,84.99,,,2.9,,,37.65,,NE,
CXXC1,10/03/2019 20:00 PDT,70.3,30,6.2,59,,0,30.92,80.01,,,3.2,,,37.32,,ENE,
CXXC1,10/03/2019 21:00 PDT,67.5,35,5.39,66,,0,0.03,77,,,3.3,,,38.78,,ENE,
CXXC1,10/03/2019 22:00 PDT,63.3,36,3.8,46,,0,0.04,73,,,2.7,,,35.75,,NE,
CXXC1,10/03/2019 23:00 PDT,62.1,36,5.39,43,,0,0.02,71.01,,,2.5,,,34.68,,NE,
CXXC1,10/04/2019 00:00 PDT,60.1,38,2.3,27,,0,0.02,69.01,,,2.5,,,34.25,,NNE,
CXXC1,10/04/2019 01:00 PDT,57.7,41,3,48,,0,0.01,66,0,,2.7,,,34,,NE,
CXXC1,10/04/2019 02:00 PDT,56.3,40,2.3,47,,0,0.02,64.99,,,2.1,,,32.12,,NE,
CXXC1,10/04/2019 03:00 PDT,57.2,49,3.09,28,,0,0.02,63,,,2.4,,,38.07,,NNE,
CXXC1,10/04/2019 04:00 PDT,52,50,0.89,65,,0,0.02,61,,,2.3,,,33.77,,ENE,
CXXC1,10/04/2019 05:00 PDT,56.5,52,4.41,35,,0,0.03,61,,,1.4,,,38.95,,NE,
CXXC1,10/04/2019 06:00 PDT,56.7,57,3.69,62,,0,0.01,60.01,,,1.7,,,41.51,,ENE,
CXXC1,10/04/2019 07:00 PDT,53.4,61,2.51,111,,0,0.02,59,,,2.7,,,40.17,,ESE,
CXXC1,10/04/2019 08:00 PDT,52.2,63,5.1,58,,0,1.24,57.99,,,1.9,,,39.87,,ENE,
