# STATION: CXXC1
# STATION NAME: COCHORA RANCH
# LATITUDE: 35.11807
# LONGITUDE: -119.59608
# ELEVATION [ft]: 2697
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_set_1,volt_set_1,soil_moisture_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,Fahrenheit,Inches,volts,%,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,code,Fahrenheit
CXXC1,10/01/2019 22:00 PDT,51.3,46.0,3.2,56.0,,0.0,0.06,70.0,,,2.7,,,31.04,,NE,
CXXC1,10/01/2019 23:00 PDT,50.2,48.0,3.6,54.0,,0.0,0.03,66.99,,,2.3,,,31.09,,NE,
CXXC1,10/02/2019 00:00 PDT,49.8,50.0,3.89,52.0,,0.0,0.04,64.99,,,3.0,,,31.74,,NE,
CXXC1,10/02/2019 01:00 PDT,49.6,47.0,5.3,46.0,,0.0,0.03,63.0,0.0,,1.8,,,30.02,,NE,
CXXC1,10/02/2019 02:00 PDT,49.8,48.0,5.5,45.0,,0.0,0.03,61.0,,,1.9,,,30.72,,NE,
CXXC1,10/02/2019 03:00 PDT,49.3,47.0,5.61,50.0,,0.0,0.03,60.01,,,2.1,,,29.74,,NE,
CXXC1,10/02/2019 04:00 PDT,49.6,46.0,5.5,54.0,,0.0,0.04,59.0,,,2.5,,,29.49,,NE,
CXXC1,10/02/2019 05:00 PDT,50.2,45.0,5.79,54.0,,0.0,0.01,57.99,,,1.7,,,29.49,,NE,
CXXC1,10/02/2019 06:00 PDT,49.5,48.0,5.1,54.0,,0.0,0.02,57.0,,,1.9,,,30.45,,NE,
CXXC1,10/02/2019 07:00 PDT,48.6,47.0,5.79,53.0,,0.0,0.02,55.99,,,1.8,,,29.1,,NE,
CXXC1,10/02/2019 08:00 PDT,48.7,47.0,5.3,54.0,,0.0,1.51,55.99,,,2.2,,,29.19,,NE,
CXXC1,10/02/2019 09:00 PDT,48.6,46.0,3.4,47.0,,0.0,55.69,55.0,,,1.3,,,28.57,,NE,
CXXC1,10/02/2019 10:00 PDT,53.1,40.0,3.49,63.0,,0.0,284.7,57.99,,,2.2,,,29.23,,ENE,
