Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,16:59,17:28,17:55,19:21,19:46,20:09,20:18,20:02,19:26,18:43,18:04,16:47
2,16:59,17:29,17:56,19:22,19:46,20:10,20:18,20:01,19:24,18:41,18:03,16:47
3,17:00,17:30,17:57,19:23,19:47,20:10,20:18,20:00,19:23,18:40,18:03,16:47
4,17:01,17:31,17:58,19:24,19:48,20:11,20:18,19:59,19:22,18:39,18:02,16:47
5,17:02,17:32,17:59,19:24,19:49,20:11,20:17,19:58,19:20,18:37,18:01,16:47
6,17:03,17:33,18:00,19:25,19:50,20:12,20:17,19:57,19:19,18:36,18:00,16:47
7,17:04,17:34,18:01,19:26,19:51,20:12,20:17,19:56,19:17,18:34,16:59,16:47
8,17:05,17:35,18:01,19:27,19:51,20:13,20:17,19:55,19:16,18:33,16:58,16:47
9,17:05,17:36,18:02,19:28,19:52,20:13,20:16,19:54,19:14,18:32,16:57,16:47
10,17:06,17:37,18:03,19:28,19:53,20:14,20:16,19:53,19:13,18:30,16:57,16:48
11,17:07,17:38,18:04,19:29,19:54,20:14,20:16,19:52,19:12,18:29,16:56,16:48
12,17:08,17:39,18:05,19:30,19:55,20:15,20:15,19:51,19:10,18:28,16:55,16:48
13,17:09,17:40,18:06,19:31,19:55,20:15,20:15,19:50,19:09,18:26,16:54,16:48
14,17:10,17:41,19:07,19:32,19:56,20:15,20:14,19:49,19:07,18:25,16:54,16:49
15,17:11,17:42,19:07,19:32,19:57,20:16,20:14,19:48,19:06,18:24,16:53,16:49
16,17:12,17:43,19:08,19:33,19:58,20:16,20:14,19:46,19:04,18:23,16:53,16:49
17,17:13,17:44,19:09,19:34,19:58,20:16,20:13,19:45,19:03,18:21,16:52,16:50
18,17:14,17:45,19:10,19:35,19:59,20:17,20:12,19:44,19:01,18:20,16:51,16:50
19,17:15,17:46,19:11,19:36,20:00,20:17,20:12,19:43,19:00,18:19,16:51,16:50
20,17:16,17:47,19:11,19:37,20:01,20:17,20:11,19:42,18:59,18:18,16:50,16:51
21,17:17,17:48,19:12,19:37,20:01,20:17,20:11,19:40,18:57,18:16,16:50,16:51
22,17:18,17:49,19:13,19:38,20:02,20:17,20:10,19:39,18:56,18:15,16:50,16:52
23,17:19,17:50,19:14,19:39,20:03,20:18,20:09,19:38,18:54,18:14,16:49,16:52
24,17:20,17:51,19:15,19:40,20:04,20:18,20:09,19:36,18:53,18:13,16:49,16:53
25,17:21,17:52,19:16,19:41,20:04,20:18,20:08,19:35,18:51,18:12,16:49,16:54
26,17:22,17:53,19:16,19:41,20:05,20:18,20:07,19:34,18:50,18:11,16:48,16:54
27,17:23,17:54,19:17,19:42,20:06,20:18,20:06,19:32,18:48,18:10,16:48,16:55
28,17:24,17:54,19:18,19:43,20:06,20:18,20:06,19:31,18:47,18:08,16:48,16:56
29,17:25,,19:19,19:44,20:07,20:18,20:05,19:30,18:46,18:07,16:48,16:56
30,17:26,,19:20,19:45,20:08,20:18,20:04,19:28,18:44,18:06,16:47,16:57
31,17:27,,19:20,,20:08,,20:03,19:27,,18:05,,16:58
