individual_ID,blood_draw_date,osmolality_mmol_kg_mean
F-01,4/23/21,338
F-01,5/8/21,344.5
F-02,4/23/21,370
F-03,4/23/21,333
F-03,5/8/21,337.3333333
F-04,4/23/21,381
F-05,4/24/21,338
F-05,5/8/21,363.5
F-06,4/24/21,329.5
F-06,5/8/21,369
F-07,4/24/21,309.3333333
F-08,4/24/21,362
F-08a,5/8/21,392.6666667
F-09,4/24/21,344.5
F-10,4/24/21,326
F-10,7/14/21,348.3333333
F-11,4/23/21,333.3333333
F-11,5/8/21,378.3333333
F-12,4/23/21,347.6666667
F-12,5/8/21,361
F-12,7/14/21,356
F-13,4/23/21,348
F-13,5/8/21,379.5
F-14,4/24/21,402
F-15,4/24/21,316
F-16,4/24/21,390
F-16,5/8/21,339.3333333
F-17,4/24/21,345.5
F-17,5/8/21,340.5
F-18,4/25/21,373.3333333
F-19,4/25/21,323.5
F-19,5/8/21,352.6666667
M-01,7/14/21,340.6666667
M-02,4/23/21,344
M-03,4/23/21,375.5
M-03a,5/7/21,417
M-03a,7/14/21,354.5
M-04,4/23/21,349
M-04,5/7/21,397.5
M-05,4/23/21,348
M-05,7/14/21,369
M-06,4/23/21,348.5
M-06,7/14/21,326.6666667
M-07,4/23/21,377.5
M-07,5/7/21,395
M-08,4/23/21,396
M-08,7/14/21,363
M-09,4/24/21,367
M-09,5/7/21,375.5
M-09,7/14/21,330.6666667
M-10,4/24/21,420.5
M-10,5/7/21,416.5
M-10,7/14/21,351.5
M-11,4/23/21,381.3333333
M-11,5/7/21,351.5
M-11,7/14/21,365
M-12,4/23/21,360.5
M-12,5/8/21,357.5
M-13,4/23/21,370.3333333
M-13,7/14/21,376.5
M-14,4/23/21,354.5
M-14,7/14/21,378.5
M-15,4/23/21,346.3333333
M-16,4/23/21,372.5
M-16,5/7/21,419.5
M-17,4/23/21,365
M-17,5/7/21,436.5
M-18,4/24/21,423.5
M-18,5/8/21,355.3333333
M-19,4/24/21,371
M-19,5/7/21,382
M-19,7/14/21,338.3333333
M-20,4/24/21,373.5
M-20,5/7/21,414
M-20,7/14/21,346
W-001,5/8/21,390
W-002,4/23/21,360
W-002,5/7/21,379
W-004,4/23/21,335
W-005,4/23/21,361
W-006,4/24/21,334
W-007,4/24/21,409
W-008,4/24/21,367.5
W-009,4/24/21,376.6666667
W-010,4/24/21,375.5
W-011,4/24/21,379.5
W-012,4/24/21,372
W-013,4/24/21,386
W-014,4/24/21,364
W-015,4/24/21,397.6666667
W-016,4/24/21,381
W-016,5/8/21,382.6666667
W-017,4/24/21,399.5
W-017,5/8/21,366
W-018,4/24/21,367.5
W-019,4/24/21,377
W-020,4/24/21,373
W-021,4/24/21,416.5
W-022,4/24/21,348
W-023,4/24/21,369
W-024,4/24/21,332
W-025,4/24/21,355
W-025,5/8/21,364
W-026,4/25/21,374
W-027,4/25/21,394.3333333
W-028,4/25/21,395
W-030,5/7/21,430.5
W-031,5/7/21,437.3333333
W-032,5/8/21,436.5
W-033,5/8/21,354
W-034,5/8/21,381
W-035,5/8/21,369
W-036,5/8/21,354.6666667
W-037,5/8/21,361
W-038,5/8/21,360
W-039,7/14/21,360
