blood_draw_date,individual_ID,replicate_no,osmolality_mmol_kg,hemolyzed_Y_N
4/23/21,M-02,3,382,N
4/23/21,M-02,2,339,N
4/23/21,M-02,1,349,N
4/23/21,M-03,1,372,N
4/23/21,M-03,2,379,N
4/23/21,M-04,1,349,N
4/23/21,M-05,1,348,N
4/23/21,M-06,3,346,N
4/23/21,M-06,2,340,N
4/23/21,M-06,1,351,N
4/23/21,M-07,2,391,N
4/23/21,M-07,1,364,N
4/23/21,M-08,1,396,N
4/24/21,M-09,2,349,Y
4/24/21,M-09,1,385,Y
4/24/21,M-10,3,391,Y
4/24/21,M-10,2,417,Y
4/24/21,M-10,1,424,Y
4/23/21,F-01,3,337,N
4/23/21,F-01,2,338,N
4/23/21,F-01,1,339,N
4/23/21,F-02,3,376,N
4/23/21,F-02,2,364,N
4/23/21,F-02,1,393,N
4/23/21,F-03,3,332,N
4/23/21,F-03,2,334,N
4/23/21,F-03,1,333,N
4/23/21,F-04,2,400,N
4/23/21,F-04,1,362,N
4/24/21,F-05,3,338,Y
4/24/21,F-05,2,338,Y
4/24/21,F-05,1,314,Y
4/24/21,F-06,3,320,N
4/24/21,F-06,2,364,N
4/24/21,F-06,1,339,N
4/24/21,F-07,3,313,Y
4/24/21,F-07,2,309,Y
4/24/21,F-07,1,306,Y
4/24/21,F-08,3,327,Y
4/24/21,F-08,2,359,Y
4/24/21,F-08,1,365,Y
4/24/21,F-09,3,367,Y
4/24/21,F-09,2,338,Y
4/24/21,F-09,1,351,Y
4/24/21,F-10,3,321,Y
4/24/21,F-10,2,350,Y
4/24/21,F-10,1,331,Y
4/23/21,M-11,3,385,N
4/23/21,M-11,2,381,N
4/23/21,M-11,1,378,N
4/23/21,M-12,3,361,N
4/23/21,M-12,2,360,N
4/23/21,M-12,1,387,N
4/23/21,M-13,3,370,N
4/23/21,M-13,2,372,N
4/23/21,M-13,1,369,N
4/23/21,M-14,3,334,N
4/23/21,M-14,2,351,N
4/23/21,M-14,1,358,N
4/23/21,M-15,3,344,N
4/23/21,M-15,2,346,N
