serial,freq,micro,date,time,
229059,150.81,Open,4/27/21,,
229060,150.83,Burrow,4/27/21,,
229063,151.049,Open,4/27/21,,
229066,151.15,Burrow,4/27/21,,
229069,151.29,Open,4/27/21,,
229077,151.83,Burrow,4/27/21,,
229078,151.849,Open,4/27/21,,
229079,151.91,Open,4/27/21,,
245744,150.141,Burrow,4/27/21,,
245745,150.169,Open,4/27/21,,
245747,150.21,Burrow,4/27/21,,
245748,150.25,Open,4/27/21,,
245752,150.33,Open,4/27/21,,
245760,150.48,Open,4/27/21,,
245762,150.529,Open,4/27/21,,
252884,151.36,Burrow,4/27/21,,
252885,151.699,Open,4/27/21,,
252886,151.74,Burrow,4/27/21,,
252887,151.76,Open,4/27/21,,
,150.07,Open,4/28/21,,or serial 150.069
,150.21,Open,4/28/21,,
,150.309,Open,4/28/21,,
,150.33,Open,4/28/21,,
,150.34,Burrow,4/28/21,,
,150.355,Open,4/28/21,,
,150.41,Open,4/28/21,,
,150.46,Open,4/28/21,,
,150.48,Open,4/28/21,,
,150.49,Open,4/28/21,,
,151.36,Burrow,4/28/21,,
,151.369,Open,4/28/21,,
,151.47,Open,4/28/21,,
,151.969,Burrow,4/28/21,,
,150.07,Shade - Partial,4/29/21,,
,150.141,Shade - Partial,4/29/21,,
,150.169,Open,4/29/21,,
,150.189,Open,4/29/21,,
,150.21,Burrow,4/29/21,,
,150.21,Open,4/29/21,,
,150.25,Shade - Partial,4/29/21,,or serial 150.2497
,150.309,Open,4/29/21,,
,150.33,Shade - Full,4/29/21,,
,150.34,Shade - Full,4/29/21,,
,150.355,Open,4/29/21,,
,150.39,Shade - Partial,4/29/21,,
,150.46,Open,4/29/21,,
,150.48,Burrow,4/29/21,,
,150.49,Open,4/29/21,,
,150.81,Open,4/29/21,,
,150.83,Burrow,4/29/21,,
,150.5292,Burrow,4/29/21,,
,151.049,Open,4/29/21,,
,151.29,Open,4/29/21,,
,151.36,Open,4/29/21,,
,151.37,Burrow,4/29/21,,
,151.47,Burrow,4/29/21,,
,151.59,Burrow,4/29/21,,
,151.699,Open,4/29/21,,
,151.74,Burrow,4/29/21,,
,151.76,Shade - Full,4/29/21,,
,151.969,Shade - Partial,4/29/21,,
,151.2395,Open,4/29/21,,
,151.3193,Open,4/29/21,,
,151.8492,Shade - Full,4/29/21,,
,150.008,Open,5/1/21,16:55,
,150.07,Shade - Partial,5/1/21,11:35,
,150.141,Open,5/1/21,10:34,
,150.169,Open,5/1/21,10:03,
,150.189,Open,5/1/21,14:22,
,150.21,Open,5/1/21,11:04,
,150.309,Open,5/1/21,14:22,
,150.33,Open,5/1/21,10:59,
,150.34,Shade - Partial,5/1/21,13:50,
,150.355,Open,5/1/21,14:40,
,150.39,Open,5/1/21,10:12,
,150.41,Open,5/1/21,14:53,
,150.46,Open,5/1/21,13:42,
,150.48,Open,5/1/21,16:00,
,150.49,Burrow,5/1/21,15:52,
,150.529,Open,5/1/21,12:35,
,150.81,Open,5/1/21,13:34,
,150.83,Open,5/1/21,16:08,
,150.2793,Burrow,5/1/21,16:43,
,151.049,Shade - Partial,5/1/21,14:00,
,151.15,Open,5/1/21,15:30,
,151.29,Open,5/1/21,15:42,
,151.36,Open,5/1/21,10:28,
,151.37,Burrow,5/1/21,12:24,
,151.47,Open,5/1/21,15:00,
,151.699,Open,5/1/21,10:43,
,151.91,Burrow,5/1/21,15:22,
,151.969,Open,5/1/21,13:23,
,151.2395,Burrow,5/1/21,15:16,
,151.3193,Open,5/1/21,11:17,
,151.8492,Burrow,5/1/21,17:37,
,150.25,Open,5/1/21,10:04,
,150.25,Open,5/1/21,10:13,
,150.25,Open,5/1/21,11:13,
,150.25,Open,5/1/21,11:17,
,150.25,Open,5/1/21,11:22,
,150.25,Open,5/1/21,11:23,
,150.25,Open,5/1/21,11:28,
,150.25,Open,5/1/21,11:33,
,150.25,Open,5/1/21,11:37,
,150.25,Open,5/1/21,11:43,
,150.25,Open,5/1/21,11:46,
,150.25,Open,5/1/21,11:48,
,150.25,Open,5/1/21,11:51,
,150.25,Open,5/1/21,11:53,
,150.25,Open,5/1/21,11:58,
,150.25,Open,5/1/21,12:02,
,150.25,Open,5/1/21,12:07,
,150.25,Open,5/1/21,12:12,
