date,freq,freq_notes,time,micro,,,
5/2/21,151.3193,,2:04,Open,,,
5/2/21,150.069,150.0705,2:14,Open,,,
5/2/21,151.3703,,2:28,Open,,,
5/2/21,150.529,,14:40,Open,,,
5/2/21,151.83,151.8302,14:59,Open,,,
5/2/21,151.59,151.5902,3:14,Open,,,
5/2/21,150.008,150.0089,15:30,Open,,,
5/2/21,150.83,,15:37,Open,,,
5/2/21,150.48,,15:45,Open,,,
5/2/21,151.29,151.2904,4:03,Open,,,
5/2/21,151.91,151.9102,4:18,Burrow,,,
5/2/21,150.39,150.3899,12:30,Open,,,
5/2/21,150.169,150.1689,12:37,Open,,,
5/2/21,151.36,151.3598,12:46,Open,,,
5/2/21,150.141,150.1405,12:58,Open,,,
5/2/21,151.699,151.6989,13:08,Open,,,
5/2/21,150.33,150.3298,13:16,Open,,,
5/2/21,150.21,150.2099 (male),13:21,Open,,,
5/1/21,151.76,,13:37,Open,,,
5/1/21,151.76,,13:48,Open,,,
5/1/21,151.76,,13:53,Shade - partial,,,
5/1/21,151.76,,14:01,Open,,,
5/1/21,151.76,,14:06,Open,,,
5/1/21,151.76,,14:10,Open,,,
5/1/21,151.76,,14:15,Open,,,
5/1/21,151.76,,14:23,Open,,,
5/1/21,151.76,,14:30,Open,,,
5/1/21,151.76,,14:35,Open,,,
5/1/21,151.76,,14:41,Open,,,
5/1/21,151.76,,14:47,Open,,,
5/1/21,151.74,,,Burrow,,,
5/1/21,151.59,,16:38,Burrow,,,
5/1/21,151.83,151.8302,16:58,Open,,,
5/1/21,151.83,,17:02,Open,,,
5/1/21,151.83,,17:05,Open,,,
5/1/21,151.83,,17:08,Open,,,
5/1/21,151.83,,17:11,Open,,,
5/1/21,151.83,,17:14,Open,,,
5/1/21,151.83,,17:22,Open,,,
5/1/21,151.83,,17:24,Open,,,
5/1/21,151.83,,17:27,Open,,,
5/1/21,151.83,,17:29,Open,,,
5/1/21,151.83,,17:31,Open,,,
5/1/21,151.83,,17:32,Open,,,
5/2/21,151.849,151.8496,9:31,Open,,,
5/2/21,151.849,,9:40,Open,,,
5/2/21,151.849,,9:44,Open,,,
5/2/21,151.849,,9:47,Open,,,
5/2/21,151.849,,9:51,Open,,,
5/2/21,151.849,,9:56,Open,,,
5/2/21,151.849,,9:59,Open,,,
5/2/21,151.849,,10:31,Open,,,
5/2/21,151.849,,10:04,Open,,,
5/2/21,151.849,,10:07,Open,,,
5/2/21,150.48,,10:49,Open,,,
5/2/21,150.48,,10:52,Open,,,
5/2/21,150.48,,10:55,Open,,,
5/2/21,150.48,,10:59,Open,,,
5/2/21,150.48,,11:01,Open,,,
5/2/21,150.48,,11:04,Open,,,
5/2/21,150.48,,11:07,Open,,,
5/2/21,150.48,,11:10,Open,,,
5/2/21,150.48,,11:13,Open,,,
5/2/21,150.48,,11:17,Open,,,
5/2/21,151.049,151.0495,12:43,Open,,,
5/2/21,151.049,,12:47,Open,,,
5/2/21,151.049,,12:50,Open,,,
5/2/21,151.049,,12:53,Open,,,
5/2/21,151.049,,12:57,Open,,,
5/2/21,151.049,,12:59,Open,,,
5/2/21,151.049,,13:02,Open,,,
5/2/21,151.049,,13:05,Open,,,
5/2/21,151.049,,13:08,Open,,,
5/2/21,151.049,,13:11,Open,,,
5/2/21,151.049,,13:15,Open,,,
5/2/21,150.49,,14:02,Open,,,
5/2/21,150.49,,14:06,Open,,,
5/2/21,150.49,,14:09,Open,,,
5/2/21,150.49,,14:12,Open,,,
5/2/21,150.49,,14:15,Open,,,
5/2/21,150.49,,14:18,Open,,,
5/2/21,150.49,,14:21,Open,,,
5/2/21,150.49,,14:24,Open,,,
5/2/21,150.49,,14:29,Open,,,
5/2/21,150.49,,14:31,Open,,,
5/2/21,150.49,,14:39,Open,,,
5/2/21,150.49,,14:43,Open,,,
5/2/21,150.49,,14:46,Open,,,
5/2/21,151.29,,14:57,Open,,,
5/2/21,151.29,,15:00,Open,,,
5/2/21,151.29,,15:03,Open,,,
5/2/21,151.29,,15:06,Open,,,
5/2/21,151.29,,15:09,Open,,,
5/2/21,151.29,,15:12,Open,,,
5/2/21,151.29,,15:15,Open,,,
5/2/21,151.29,,15:19,Open,,,
5/2/21,151.29,,15:22,Open,,,
5/2/21,151.29,,15:28,Open,,,
5/2/21,151.29,,15:32,Open,,,
5/2/21,151.15,,15:46,Open,,,
5/2/21,151.15,,15:49,Open,,,
5/2/21,151.15,,15:32,Open,,,
5/2/21,151.15,,15:55,Open,,,
5/2/21,151.15,,15:59,Open,,,
5/2/21,151.15,,16:02,Open,,,
5/2/21,151.15,,16:05,Open,,,
5/2/21,151.15,,16:08,Open,,,
5/2/21,151.15,,16:11,Open,,,
5/2/21,151.15,,16:14,Open,,,
5/2/21,151.15,,16:17,Open,,,
