"","effect","group","term","estimate","std.error","statistic","df","p.value","response"
"1","fixed",NA,"(Intercept)",343.684275929191,5.13858681916944,66.8830338035899,67.9999999996781,8.87802834083614e-64,"Plasma Osmolality (mmol/kg)"
"2","fixed",NA,"time_ptMay",14.7816748383711,5.53170502578313,2.67217336598284,67.999999999745,0.00942419240584018,"Plasma Osmolality (mmol/kg)"
"3","fixed",NA,"time_ptJuly",-15.0275474275517,6.86215824500964,-2.18991560541178,67.9999999994602,0.0319641689270964,"Plasma Osmolality (mmol/kg)"
"4","fixed",NA,"sex_M_FM",28.6227056397541,5.40584362984388,5.2947712881922,67.9999999997076,1.38121187763193e-06,"Plasma Osmolality (mmol/kg)"
"5","ran_pars","individual_ID","sd__(Intercept)",0,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"6","ran_pars","Residual","sd__Observation",21.0115317436025,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"7","fixed",NA,"(Intercept)",29.5293638354584,1.46418583403594,20.1677704762807,45.9657360138984,1.81908772664782e-24,"Hematocrit (%)"
"8","fixed",NA,"time_ptMay",7.43079806767189,1.33587005958582,5.5625156162088,40.5277360875482,1.87199651001924e-06,"Hematocrit (%)"
"9","fixed",NA,"time_ptJuly",0.871626237411956,1.70405962862173,0.511499845880944,49.3858793191418,0.611280617611772,"Hematocrit (%)"
"10","fixed",NA,"sex_M_FM",4.15721025719678,1.6195051178657,2.56696333425328,32.5097410829508,0.0150568983770459,"Hematocrit (%)"
"11","ran_pars","individual_ID","sd__(Intercept)",2.63679138971434,NA,NA,NA,NA,"Hematocrit (%)"
"12","ran_pars","Residual","sd__Observation",5.00749787419861,NA,NA,NA,NA,"Hematocrit (%)"
"13","fixed",NA,"(Intercept)",35.4332624619263,1.08162899771152,32.7591646829875,45.2358240387595,3.724298077954e-33,"Body Condition (g)"
"14","fixed",NA,"time_ptMay",2.74563407264365,0.954496613487257,2.87652573497612,40.5863973313287,0.00637991484075688,"Body Condition (g)"
"15","fixed",NA,"time_ptJuly",-2.96139352487664,1.22038413662189,-2.42660768524409,48.4698405668927,0.0190075108380041,"Body Condition (g)"
"16","fixed",NA,"sex_M_FM",-0.898772048843891,1.19853743881487,-0.749890674865031,32.0981845419118,0.458782067361444,"Body Condition (g)"
"17","ran_pars","individual_ID","sd__(Intercept)",2.0568714905354,NA,NA,NA,NA,"Body Condition (g)"
"18","ran_pars","Residual","sd__Observation",3.62566697130301,NA,NA,NA,NA,"Body Condition (g)"
"19","fixed",NA,"(Intercept)",11.9706650331648,0.976293439524875,12.2613392127171,51.7373560773806,6.27411870879865e-17,"CEWL (g/m2h)"
"20","fixed",NA,"time_ptMay",-1.97683037121767,0.924481632281699,-2.13831221972327,46.5641153095242,0.0377696937522094,"CEWL (g/m2h)"
"21","fixed",NA,"time_ptJuly",2.44606628604989,1.16814647021599,2.09397224442036,53.1914473520536,0.0410440178371814,"CEWL (g/m2h)"
"22","fixed",NA,"sex_M_FM",-3.05462276888104,1.0664997388399,-2.86415707162174,37.7419407327487,0.00679252181201669,"CEWL (g/m2h)"
"23","ran_pars","individual_ID","sd__(Intercept)",1.55818885815049,NA,NA,NA,NA,"CEWL (g/m2h)"
"24","ran_pars","Residual","sd__Observation",3.49616209902159,NA,NA,NA,NA,"CEWL (g/m2h)"
